DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2018,7612,15,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7621,16,2,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,1,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7618,4,2,1,24.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,8,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,8,5,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,14,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,15,4,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,23,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7620,24,3,1,1407.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,23,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7617,24,6,1,69.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,10,6,2,51.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,17,2,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,13,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7604,20,4,1,9.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7621,8,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7621,9,5,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,5,5,1,201.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,1,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7615,2,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7612,3,3,1,69.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,12,2,2,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,18,4,1,300.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7615,24,4,1,3024.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,10,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,12,3,2,42.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,9,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7613,14,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7602,4,4,1,72.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,5,6,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7613,14,4,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,13,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7609,13,2,2,27.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,19,3,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7621,25,6,1,69.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,18,5,1,447.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,20,1,1,63.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,18,1,2,81.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,19,4,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7601,2,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7614,4,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7603,5,1,1,1359.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7615,14,5,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,9,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7603,17,3,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,22,2,3,,_U
