DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2018,7607,2,10,2,225.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7620,4,14,2,195.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7615,4,6,1,1401.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7606,2,4,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7621,6,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7614,3,9,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7606,6,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7620,3,3,2,591.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7614,3,17,2,12.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7620,4,7,1,927.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7610,6,13,1,12.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7606,5,15,1,21.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7603,5,11,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7615,4,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7605,2,10,1,105.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7621,4,10,2,240.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7606,5,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7618,3,11,1,909.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7609,6,11,1,9.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7621,1,15,2,1404.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7611,3,16,2,111.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7621,3,18,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7608,5,1,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7612,2,1,1,240.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7612,3,5,2,348.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7613,2,11,2,84.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7602,6,2,1,42.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7602,6,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7610,6,18,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7613,3,4,2,408.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7613,5,1,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2018,7611,3,7,1,426.0,
STATSNZ:CEN23_ECI_018(1.0),2018,7606,1,10,3,,_U
