DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2018,7603,999,6,2,426.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,999,5,1,711.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,999,6,2,9.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7604,999,6,2,519.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,999,1,1,29520.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7607,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7621,999,1,1,30381.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,999,2,2,12852.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,999,6,1,567.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7606,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7617,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7618,999,3,2,20028.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,999,6,1,315.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,999,3,1,3852.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,999,3,2,12507.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,999,4,2,16545.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7617,999,1,2,7374.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,999,4,1,14256.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,999,5,2,240.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,999,1,2,390.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,999,6,1,357.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7612,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7609,999,5,2,165.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,999,5,1,477.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,999,6,2,216.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,999,3,2,3801.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,999,1,2,29685.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7611,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7615,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7618,999,4,1,15840.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,999,4,1,12615.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7606,999,2,2,10443.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,999,1,1,19287.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,999,3,1,1335.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7620,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7604,999,2,2,3834.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7615,999,4,2,10728.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,999,5,1,726.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7613,999,4,2,14010.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,999,3,1,1200.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,999,2,2,3657.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,999,3,2,17511.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,999,1,2,29274.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7609,999,2,1,504.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7615,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7602,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7618,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7602,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7618,999,4,2,14037.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7621,999,6,3,,_U
