DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2013,7612,20,5,1,9.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,22,2,2,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,24,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7609,24,4,1,42.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,25,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7619,3,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7621,4,2,1,48.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,4,1,1,333.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,13,6,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,13,4,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,19,5,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,15,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,15,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,16,1,1,87.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,8,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,10,1,2,315.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,13,3,1,,c
STATSNZ:CEN23_ECI_017(1.0),2013,7602,14,3,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,10,6,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,10,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,11,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7614,16,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7601,18,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7616,23,6,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,12,1,1,549.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,20,3,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,12,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,13,4,2,21.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,13,6,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,24,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,1,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7608,18,5,2,,c
STATSNZ:CEN23_ECI_017(1.0),2013,7601,18,3,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,20,4,1,9.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,4,5,2,9.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,24,1,2,12060.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,16,3,1,18.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,18,6,2,9.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,23,3,2,24.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,1,4,1,162.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,25,3,2,15.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,4,2,1,21.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,3,6,1,,c
STATSNZ:CEN23_ECI_017(1.0),2013,7605,4,4,1,69.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,9,4,2,90.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,7,4,1,9.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,22,5,1,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,22,3,1,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,10,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,12,1,2,402.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,10,2,2,30.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,5,3,2,207.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,14,5,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,10,2,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,17,2,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,6,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,7,5,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,11,1,2,1620.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,9,5,2,9.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,10,1,2,381.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,24,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7609,3,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,25,6,1,66.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,19,3,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,2,4,1,12.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,17,3,2,117.0,
