DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7619,2,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7612,6,1,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7608,6,11,2,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,5,1,1,54.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,3,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7617,5,4,1,18.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,1,13,2,1593.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,3,2,2,258.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,6,8,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7607,4,11,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7613,2,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7601,1,15,2,966.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,1,10,2,927.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,3,18,2,27.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,5,16,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,5,2,1,93.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,5,17,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,4,5,2,504.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,6,17,2,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,1,2,2,30.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,4,7,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7603,1,1,2,1059.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,2,8,2,540.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,4,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7606,4,14,1,252.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,4,19,2,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,1,8,2,2319.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,6,12,1,21.0,
