DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7620,12111,99,99,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,12111,99,99,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,12111,99,99,18.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,12111,99,99,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,12111,99,99,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,12111,99,99,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,12111,99,99,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,12111,99,99,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,12111,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,12111,99,99,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,12111,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,12111,99,99,15.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,12111,99,99,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,12111,99,99,15.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,12111,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,12111,99,99,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,12111,99,99,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,12112,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,12112,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,12112,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,12112,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,12112,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,12112,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,12113,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,12113,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,12113,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,12113,99,99,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,12113,99,99,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,12113,99,99,0.0,
